File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
266 : Average=1470.2432Best=1244.8093
267 : Average=1463.685Best=1244.8093
268 : Average=1461.72Best=1244.8093
269 : Average=1462.7385Best=1244.8093
270 : Average=1461.9237Best=1244.8093
271 : Average=1468.9711Best=1244.8093
272 : Average=1467.1372Best=1244.8093
273 : Average=1462.8655Best=1244.8093
274 : Average=1465.3602Best=1244.8093
275 : Average=1464.8666Best=1244.8093
276 : Average=1468.5094Best=1244.8093
277 : Average=1459.284Best=1244.8093
278 : Average=1467.6188Best=1244.8093
279 : Average=1464.6777Best=1244.8093
280 : Average=1462.201Best=1244.8093
281 : Average=1463.3391Best=1244.8093
282 : Average=1470.3944Best=1244.8093
283 : Average=1478.4597Best=1244.8093
284 : Average=1469.3165Best=1244.8093
285 : Average=1474.1711Best=1244.8093
286 : Average=1467.1421Best=1244.8093
287 : Average=1462.9998Best=1244.8093
288 : Average=1473.6324Best=1244.8093
289 : Average=1470.6708Best=1244.8093
290 : Average=1460.3616Best=1244.8093
291 : Average=1462.141Best=1244.8093
292 : Average=1459.4341Best=1244.8093
293 : Average=1463.7139Best=1244.8093
294 : Average=1468.5514Best=1244.8093
295 : Average=1465.4132Best=1244.8093
296 : Average=1467.985Best=1244.8093
297 : Average=1464.5304Best=1244.8093
298 : Average=1461.2101Best=1244.8093
299 : Average=1460.8875Best=1244.8093
300 : Average=1465.1532Best=1244.8093
301 : Average=1469.3121Best=1244.8093
302 : Average=1469.0034Best=1244.8093
303 : Average=1465.1101Best=1244.8093
304 : Average=1453.0448Best=1244.8093
305 : Average=1466.1194Best=1244.8093
306 : Average=1475.3495Best=1244.8093
307 : Average=1477.969Best=1244.8093
308 : Average=1470.8611Best=1244.8093
309 : Average=1464.2467Best=1244.8093
310 : Average=1463.0034Best=1244.8093
311 : Average=1464.9182Best=1244.8093
312 : Average=1466.1185Best=1244.8093
313 : Average=1469.5248Best=1244.8093
314 : Average=1465.3865Best=1244.8093
315 : Average=1465.1906Best=1244.8093
316 : Average=1453.6913Best=1244.8093
317 : Average=1458.4811Best=1244.8093
318 : Average=1463.8694Best=1244.8093
319 : Average=1471.1372Best=1244.8093
320 : Average=1467.507Best=1244.8093
321 : Average=1462.3901Best=1244.8093
322 : Average=1460.878Best=1244.8093
323 : Average=1474.9773Best=1244.8093
324 : Average=1465.0419Best=1244.8093
325 : Average=1466.0466Best=1244.8093
326 : Average=1463.7428Best=1244.8093
327 : Average=1473.4948Best=1244.8093
328 : Average=1467.7195Best=1244.8093
329 : Average=1468.5459Best=1244.8093
330 : Average=1468.185Best=1244.8093
331 : Average=1462.9523Best=1244.8093
332 : Average=1474.2645Best=1244.8093
333 : Average=1474.1857Best=1244.8093
334 : Average=1471.352Best=1244.8093
335 : Average=1467.3715Best=1244.8093
336 : Average=1467.3882Best=1244.8093
337 : Average=1461.449Best=1244.8093
338 : Average=1460.276Best=1244.8093
339 : Average=1454.6038Best=1244.8093
340 : Average=1459.2854Best=1244.8093
341 : Average=1458.3389Best=1244.8093
342 : Average=1459.7758Best=1244.8093
343 : Average=1474.5544Best=1244.8093
344 : Average=1466.4382Best=1244.8093
345 : Average=1462.5879Best=1244.8093
346 : Average=1463.3369Best=1244.8093
347 : Average=1460.1942Best=1244.8093
348 : Average=1467.5985Best=1244.8093
349 : Average=1455.9124Best=1244.8093
350 : Average=1462.5874Best=1244.8093
351 : Average=1459.7833Best=1244.8093
352 : Average=1461.6917Best=1244.8093
353 : Average=1463.2104Best=1244.8093
354 : Average=1466.657Best=1244.8093
355 : Average=1474.6492Best=1244.8093
356 : Average=1477.2101Best=1244.8093
357 : Average=1455.6218Best=1244.8093
358 : Average=1461.981Best=1244.8093
359 : Average=1456.9009Best=1244.8093
360 : Average=1464.727Best=1244.8093
361 : Average=1462.4912Best=1244.8093
362 : Average=1464.7937Best=1244.8093
363 : Average=1468.4364Best=1244.8093
364 : Average=1465.9108Best=1244.8093
365 : Average=1460.02Best=1244.8093
366 : Average=1461.9835Best=1244.8093
367 : Average=1463.0681Best=1244.8093
368 : Average=1460.1416Best=1244.8093
369 : Average=1459.3634Best=1244.8093
370 : Average=1466.852Best=1244.8093
371 : Average=1466.966Best=1244.8093
372 : Average=1456.9786Best=1244.8093
373 : Average=1458.2709Best=1244.8093
374 : Average=1460.549Best=1244.8093
375 : Average=1468.7164Best=1244.8093
376 : Average=1459.3414Best=1244.8093
377 : Average=1468.2152Best=1244.8093
378 : Average=1468.8905Best=1244.8093
379 : Average=1468.875Best=1244.8093
380 : Average=1463.2485Best=1244.8093
381 : Average=1460.3043Best=1244.8093
382 : Average=1465.8197Best=1244.8093
383 : Average=1469.0892Best=1244.8093
384 : Average=1462.7517Best=1244.8093
385 : Average=1465.0632Best=1244.8093
386 : Average=1463.16Best=1244.8093
387 : Average=1468.7542Best=1244.8093
388 : Average=1470.686Best=1244.8093
389 : Average=1465.646Best=1244.8093
390 : Average=1468.9292Best=1244.8093
391 : Average=1469.4188Best=1244.8093
392 : Average=1463.2045Best=1244.8093
393 : Average=1466.78Best=1244.8093
394 : Average=1466.9393Best=1244.8093
395 : Average=1468.6017Best=1244.8093
396 : Average=1469.1179Best=1244.8093
397 : Average=1471.2611Best=1244.8093
398 : Average=1470.04Best=1244.8093
399 : Average=1467.7415Best=1244.8093
400 : Average=1462.6837Best=1244.8093
401 : Average=1461.5317Best=1244.8093
402 : Average=1461.6202Best=1244.8093
403 : Average=1467.5101Best=1244.8093
404 : Average=1466.6669Best=1244.8093
405 : Average=1462.35Best=1244.8093
406 : Average=1459.8835Best=1244.8093
407 : Average=1463.8541Best=1244.8093
408 : Average=1470.7723Best=1244.8093
409 : Average=1459.5168Best=1244.8093
410 : Average=1457.4169Best=1244.8093
411 : Average=1465.501Best=1244.8093
412 : Average=1468.7767Best=1244.8093
413 : Average=1465.9825Best=1244.8093
414 : Average=1469.8271Best=1244.8093
415 : Average=1464.4647Best=1244.8093
416 : Average=1460.9169Best=1244.8093
417 : Average=1466.5929Best=1244.8093
418 : Average=1471.674Best=1244.8093
419 : Average=1468.1486Best=1244.8093
420 : Average=1469.2899Best=1244.8093
421 : Average=1467.3167Best=1244.8093
422 : Average=1466.1184Best=1244.8093
423 : Average=1461.4147Best=1244.8093
424 : Average=1458.6807Best=1244.8093
425 : Average=1464.1626Best=1244.8093
426 : Average=1462.8464Best=1244.8093
427 : Average=1462.0637Best=1244.8093
428 : Average=1464.3225Best=1244.8093
429 : Average=1466.7928Best=1244.8093
430 : Average=1459.8954Best=1244.8093
431 : Average=1465.4727Best=1244.8093
432 : Average=1469.6786Best=1244.8093
433 : Average=1472.9268Best=1244.8093
434 : Average=1461.2634Best=1244.8093
435 : Average=1460.5726Best=1244.8093
436 : Average=1462.1097Best=1244.8093
437 : Average=1462.7965Best=1244.8093
438 : Average=1463.3997Best=1244.8093
439 : Average=1466.7316Best=1244.8093
440 : Average=1461.4164Best=1244.8093
441 : Average=1466.1162Best=1244.8093
442 : Average=1471.9032Best=1244.8093
443 : Average=1468.6115Best=1244.8093
444 : Average=1464.5359Best=1244.8093
445 : Average=1465.5974Best=1244.8093
446 : Average=1469.3541Best=1244.8093
447 : Average=1470.8685Best=1244.8093
448 : Average=1464.7744Best=1244.8093
449 : Average=1462.4932Best=1244.8093
450 : Average=1456.1637Best=1244.8093
451 : Average=1460.85Best=1244.8093
452 : Average=1465.1205Best=1244.8093
453 : Average=1461.1704Best=1244.8093
454 : Average=1465.088Best=1244.8093
455 : Average=1472.6647Best=1244.8093
456 : Average=1469.8652Best=1244.8093
457 : Average=1468.3031Best=1244.8093
458 : Average=1466.2299Best=1244.8093
459 : Average=1462.2931Best=1244.8093
460 : Average=1467.1885Best=1244.8093
461 : Average=1469.0686Best=1244.8093
462 : Average=1470.6615Best=1244.8093
463 : Average=1474.0354Best=1244.8093
464 : Average=1471.3456Best=1244.8093
465 : Average=1471.6608Best=1244.8093
466 : Average=1465.3705Best=1244.8093
467 : Average=1466.7894Best=1244.8093
468 : Average=1464.4634Best=1244.8093
469 : Average=1468.3378Best=1244.8093
470 : Average=1467.8065Best=1244.8093
471 : Average=1462.8159Best=1244.8093
472 : Average=1460.866Best=1244.8093
473 : Average=1466.1056Best=1244.8093
474 : Average=1470.3303Best=1244.8093
475 : Average=1461.9829Best=1230.4763
476 : Average=1466.3442Best=1230.4763
477 : Average=1465.4448Best=1230.4763
478 : Average=1472.1921Best=1230.4763
479 : Average=1470.2865Best=1230.4763
480 : Average=1466.9747Best=1230.4763
481 : Average=1464.6946Best=1230.4763
482 : Average=1457.6455Best=1230.4763
483 : Average=1466.6039Best=1230.4763
484 : Average=1466.6924Best=1230.4763
485 : Average=1462.1229Best=1230.4763
486 : Average=1466.9413Best=1230.4763
487 : Average=1465.9558Best=1230.4763
488 : Average=1466.2877Best=1230.4763
489 : Average=1459.1471Best=1230.4763
490 : Average=1455.8049Best=1230.4763
491 : Average=1457.9744Best=1230.4763
492 : Average=1459.4628Best=1230.4763
493 : Average=1453.4447Best=1230.4763
494 : Average=1456.2489Best=1230.4763
495 : Average=1454.3779Best=1230.4763
496 : Average=1459.4569Best=1230.4763
